algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Memorizing Boyer Moore,10485762,3,2,1312350,0,38
Weak Memorizing Boyer Moore,10485762,3,3,1312350,0,39
Weak Memorizing Boyer Moore,10485762,3,4,1312350,0,37
Weak Memorizing Boyer Moore,10485762,3,5,1312350,0,38
Weak Memorizing Boyer Moore,10485762,3,6,1312350,0,38
Weak Memorizing Boyer Moore,10485762,3,7,1312350,0,38
Weak Memorizing Boyer Moore,10485762,3,8,1312350,0,38
Weak Memorizing Boyer Moore,10485762,3,9,1312350,0,38
Weak Memorizing Boyer Moore,10485762,4,0,655164,0,38
Weak Memorizing Boyer Moore,10485762,4,1,655164,0,37
Weak Memorizing Boyer Moore,10485762,4,2,655164,0,39
Weak Memorizing Boyer Moore,10485762,4,3,655164,0,38
Weak Memorizing Boyer Moore,10485762,4,4,655164,0,38
Weak Memorizing Boyer Moore,10485762,4,5,655164,0,37
Weak Memorizing Boyer Moore,10485762,4,6,655164,0,40
Weak Memorizing Boyer Moore,10485762,4,7,655164,0,38
Weak Memorizing Boyer Moore,10485762,4,8,655164,0,38
Weak Memorizing Boyer Moore,10485762,4,9,655164,0,39
Weak Memorizing Boyer Moore,10485762,5,0,327566,0,43
Weak Memorizing Boyer Moore,10485762,5,1,327566,0,44
Weak Memorizing Boyer Moore,10485762,5,2,327566,0,43
Weak Memorizing Boyer Moore,10485762,5,3,327566,0,43
Weak Memorizing Boyer Moore,10485762,5,4,327566,0,44
Weak Memorizing Boyer Moore,10485762,5,5,327566,0,43
Weak Memorizing Boyer Moore,10485762,5,6,327566,0,43
Weak Memorizing Boyer Moore,10485762,5,7,327566,0,43
Weak Memorizing Boyer Moore,10485762,5,8,327566,0,44
Weak Memorizing Boyer Moore,10485762,5,9,327566,0,43
Weak Memorizing Boyer Moore,10485762,6,0,164179,0,35
Weak Memorizing Boyer Moore,10485762,6,1,164179,0,36
Weak Memorizing Boyer Moore,10485762,6,2,164179,0,36
Weak Memorizing Boyer Moore,10485762,6,3,164179,0,35
Weak Memorizing Boyer Moore,10485762,6,4,164179,0,35
Weak Memorizing Boyer Moore,10485762,6,5,164179,0,35
Weak Memorizing Boyer Moore,10485762,6,6,164179,0,36
Weak Memorizing Boyer Moore,10485762,6,7,164179,0,37
Weak Memorizing Boyer Moore,10485762,6,8,164179,0,36
