algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
KMP,10000000,2,2,624594,0,69
KMP,10000000,2,3,624594,0,75
KMP,10000000,2,4,624594,0,79
KMP,10000000,2,5,624594,0,79
KMP,10000000,2,6,624594,0,69
KMP,10000000,2,7,624594,0,70
KMP,10000000,2,8,624594,0,66
KMP,10000000,2,9,624594,0,72
Horspool,10000000,2,0,624594,0,94
Horspool,10000000,2,1,624594,0,93
Horspool,10000000,2,2,624594,0,100
Horspool,10000000,2,3,624594,0,93
Horspool,10000000,2,4,624594,0,99
Horspool,10000000,2,5,624594,0,97
Horspool,10000000,2,6,624594,0,105
Horspool,10000000,2,7,624594,0,97
Horspool,10000000,2,8,624594,0,98
Horspool,10000000,2,9,624594,0,99
Shift-And,10000000,2,0,624594,0,20
Shift-And,10000000,2,1,624594,0,18
Shift-And,10000000,2,2,624594,0,17
Shift-And,10000000,2,3,624594,0,14
Shift-And,10000000,2,4,624594,0,15
Shift-And,10000000,2,5,624594,0,15
Shift-And,10000000,2,6,624594,0,15
Shift-And,10000000,2,7,624594,0,15
Shift-And,10000000,2,8,624594,0,15
Shift-And,10000000,2,9,624594,0,17
Weak Boyer Moore,10000000,2,0,626115,0,35
Weak Boyer Moore,10000000,2,1,626115,0,29
Weak Boyer Moore,10000000,2,2,626115,0,25
Weak Boyer Moore,10000000,2,3,626115,0,27
Weak Boyer Moore,10000000,2,4,626115,0,24
Weak Boyer Moore,10000000,2,5,626115,0,24
Weak Boyer Moore,10000000,2,6,626115,0,24
Weak Boyer Moore,10000000,2,7,626115,0,25
Weak Boyer Moore,10000000,2,8,626115,0,25
Weak Boyer Moore,10000000,2,9,626115,0,25
Weak Memorizing Boyer Moore,10000000,2,0,626115,0,29
Weak Memorizing Boyer Moore,10000000,2,1,626115,0,27
Weak Memorizing Boyer Moore,10000000,2,2,626115,0,29
Weak Memorizing Boyer Moore,10000000,2,3,626115,0,28
Weak Memorizing Boyer Moore,10000000,2,4,626115,0,31
Weak Memorizing Boyer Moore,10000000,2,5,626115,0,31
Weak Memorizing Boyer Moore,10000000,2,6,626115,0,32
Weak Memorizing Boyer Moore,10000000,2,7,626115,0,32
Weak Memorizing Boyer Moore,10000000,2,8,626115,0,28
Weak Memorizing Boyer Moore,10000000,2,9,626115,0,28
Weak Turbo Boyer Moore,10000000,2,0,626115,0,34
Weak Turbo Boyer Moore,10000000,2,1,626115,0,33
Weak Turbo Boyer Moore,10000000,2,2,626115,0,30
Weak Turbo Boyer Moore,10000000,2,3,626115,0,36
Weak Turbo Boyer Moore,10000000,2,4,626115,0,34
Weak Turbo Boyer Moore,10000000,2,5,626115,0,32
Weak Turbo Boyer Moore,10000000,2,6,626115,0,31
Weak Turbo Boyer Moore,10000000,2,7,626115,0,31
Weak Turbo Boyer Moore,10000000,2,8,626115,0,30
Weak Turbo Boyer Moore,10000000,2,9,626115,0,32
Naive,10000000,2,0,626115,0,34
Naive,10000000,2,1,626115,0,39
Naive,10000000,2,2,626115,0,38
Naive,10000000,2,3,626115,0,40
Naive,10000000,2,4,626115,0,38
Naive,10000000,2,5,626115,0,34
Naive,10000000,2,6,626115,0,37
Naive,10000000,2,7,626115,0,38
Naive,10000000,2,8,626115,0,36
Naive,10000000,2,9,626115,0,38
KMP,10000000,2,0,626115,0,68
KMP,10000000,2,1,626115,0,70
KMP,10000000,2,2,626115,0,66
KMP,10000000,2,3,626115,0,71
KMP,10000000,2,4,626115,0,66
KMP,10000000,2,5,626115,0,64
KMP,10000000,2,6,626115,0,64
KMP,10000000,2,7,626115,0,66
KMP,10000000,2,8,626115,0,66
KMP,10000000,2,9,626115,0,66
Horspool,10000000,2,0,626115,0,102
Horspool,10000000,2,1,626115,0,94
Horspool,10000000,2,2,626115,0,99
Horspool,10000000,2,3,626115,0,93
Horspool,10000000,2,4,626115,0,93
Horspool,10000000,2,5,626115,0,96
Horspool,10000000,2,6,626115,0,100
Horspool,10000000,2,7,626115,0,102
Horspool,10000000,2,8,626115,0,93
Horspool,10000000,2,9,626115,0,92
Shift-And,10000000,2,0,626115,0,20
Shift-And,10000000,2,1,626115,0,16
Shift-And,10000000,2,2,626115,0,15
Shift-And,10000000,2,3,626115,0,17
Shift-And,10000000,2,4,626115,0,16
Shift-And,10000000,2,5,626115,0,17
Shift-And,10000000,2,6,626115,0,18
Shift-And,10000000,2,7,626115,0,18
Shift-And,10000000,2,8,626115,0,17
Shift-And,10000000,2,9,626115,0,18
Weak Boyer Moore,10000000,2,0,624611,0,43
Weak Boyer Moore,10000000,2,1,624611,0,46
Weak Boyer Moore,10000000,2,2,624611,0,38
Weak Boyer Moore,10000000,2,3,624611,0,43
Weak Boyer Moore,10000000,2,4,624611,0,38
Weak Boyer Moore,10000000,2,5,624611,0,43
Weak Boyer Moore,10000000,2,6,624611,0,38
Weak Boyer Moore,10000000,2,7,624611,0,42
Weak Boyer Moore,10000000,2,8,624611,0,39
Weak Boyer Moore,10000000,2,9,624611,0,39
Weak Memorizing Boyer Moore,10000000,2,0,624611,0,45
Weak Memorizing Boyer Moore,10000000,2,1,624611,0,47
Weak Memorizing Boyer Moore,10000000,2,2,624611,0,42
Weak Memorizing Boyer Moore,10000000,2,3,624611,0,40
Weak Memorizing Boyer Moore,10000000,2,4,624611,0,46
Weak Memorizing Boyer Moore,10000000,2,5,624611,0,45
Weak Memorizing Boyer Moore,10000000,2,6,624611,0,42
Weak Memorizing Boyer Moore,10000000,2,7,624611,0,41
Weak Memorizing Boyer Moore,10000000,2,8,624611,0,40
Weak Memorizing Boyer Moore,10000000,2,9,624611,0,41
Weak Turbo Boyer Moore,10000000,2,0,624611,0,45
Weak Turbo Boyer Moore,10000000,2,1,624611,0,46
Weak Turbo Boyer Moore,10000000,2,2,624611,0,45
Weak Turbo Boyer Moore,10000000,2,3,624611,0,45
Weak Turbo Boyer Moore,10000000,2,4,624611,0,45
Weak Turbo Boyer Moore,10000000,2,5,624611,0,45
Weak Turbo Boyer Moore,10000000,2,6,624611,0,50
Weak Turbo Boyer Moore,10000000,2,7,624611,0,47
Weak Turbo Boyer Moore,10000000,2,8,624611,0,51
Weak Turbo Boyer Moore,10000000,2,9,624611,0,43
Naive,10000000,2,0,624611,0,37
Naive,10000000,2,1,624611,0,37
Naive,10000000,2,2,624611,0,34
Naive,10000000,2,3,624611,0,34
Naive,10000000,2,4,624611,0,35
Naive,10000000,2,5,624611,0,34
Naive,10000000,2,6,624611,0,34
Naive,10000000,2,7,624611,0,35
Naive,10000000,2,8,624611,0,35
Naive,10000000,2,9,624611,0,37
KMP,10000000,2,0,624611,0,68
KMP,10000000,2,1,624611,0,65
KMP,10000000,2,2,624611,0,66
KMP,10000000,2,3,624611,0,66
KMP,10000000,2,4,624611,0,67
KMP,10000000,2,5,624611,0,66
KMP,10000000,2,6,624611,0,64
KMP,10000000,2,7,624611,0,66
KMP,10000000,2,8,624611,0,68
KMP,10000000,2,9,624611,0,67
Horspool,10000000,2,0,624611,0,102
Horspool,10000000,2,1,624611,0,100
Horspool,10000000,2,2,624611,0,103
Horspool,10000000,2,3,624611,0,100
Horspool,10000000,2,4,624611,0,94
Horspool,10000000,2,5,624611,0,98
Horspool,10000000,2,6,624611,0,100
Horspool,10000000,2,7,624611,0,108
Horspool,10000000,2,8,624611,0,109
Horspool,10000000,2,9,624611,0,105
Shift-And,10000000,2,0,624611,0,21
Shift-And,10000000,2,1,624611,0,16
Shift-And,10000000,2,2,624611,0,17
Shift-And,10000000,2,3,624611,0,16
Shift-And,10000000,2,4,624611,0,15
Shift-And,10000000,2,5,624611,0,17
Shift-And,10000000,2,6,624611,0,16
Shift-And,10000000,2,7,624611,0,15
Shift-And,10000000,2,8,624611,0,16
Shift-And,10000000,2,9,624611,0,15
Weak Boyer Moore,10000000,2,0,625497,0,42
Weak Boyer Moore,10000000,2,1,625497,0,43
Weak Boyer Moore,10000000,2,2,625497,0,38
Weak Boyer Moore,10000000,2,3,625497,0,38
Weak Boyer Moore,10000000,2,4,625497,0,37
Weak Boyer Moore,10000000,2,5,625497,0,36
Weak Boyer Moore,10000000,2,6,625497,0,36
Weak Boyer Moore,10000000,2,7,625497,0,39
Weak Boyer Moore,10000000,2,8,625497,0,41
Weak Boyer Moore,10000000,2,9,625497,0,38
Weak Memorizing Boyer Moore,10000000,2,0,625497,0,41
Weak Memorizing Boyer Moore,10000000,2,1,625497,0,43
Weak Memorizing Boyer Moore,10000000,2,2,625497,0,44
Weak Memorizing Boyer Moore,10000000,2,3,625497,0,40
Weak Memorizing Boyer Moore,10000000,2,4,625497,0,44
Weak Memorizing Boyer Moore,10000000,2,5,625497,0,42
Weak Memorizing Boyer Moore,10000000,2,6,625497,0,45
Weak Memorizing Boyer Moore,10000000,2,7,625497,0,41
Weak Memorizing Boyer Moore,10000000,2,8,625497,0,45
Weak Memorizing Boyer Moore,10000000,2,9,625497,0,44
Weak Turbo Boyer Moore,10000000,2,0,625497,0,55
Weak Turbo Boyer Moore,10000000,2,1,625497,0,47
Weak Turbo Boyer Moore,10000000,2,2,625497,0,43
Weak Turbo Boyer Moore,10000000,2,3,625497,0,46
Weak Turbo Boyer Moore,10000000,2,4,625497,0,46
Weak Turbo Boyer Moore,10000000,2,5,625497,0,47
Weak Turbo Boyer Moore,10000000,2,6,625497,0,45
Weak Turbo Boyer Moore,10000000,2,7,625497,0,43
Weak Turbo Boyer Moore,10000000,2,8,625497,0,45
Weak Turbo Boyer Moore,10000000,2,9,625497,0,47
Naive,10000000,2,0,625497,0,38
Naive,10000000,2,1,625497,0,39
Naive,10000000,2,2,625497,0,36
Naive,10000000,2,3,625497,0,36
Naive,10000000,2,4,625497,0,37
Naive,10000000,2,5,625497,0,36
Naive,10000000,2,6,625497,0,35
Naive,10000000,2,7,625497,0,36
Naive,10000000,2,8,625497,0,35
Naive,10000000,2,9,625497,0,39
KMP,10000000,2,0,625497,0,75
KMP,10000000,2,1,625497,0,72
KMP,10000000,2,2,625497,0,67
KMP,10000000,2,3,625497,0,79
KMP,10000000,2,4,625497,0,73
KMP,10000000,2,5,625497,0,74
KMP,10000000,2,6,625497,0,82
KMP,10000000,2,7,625497,0,76
KMP,10000000,2,8,625497,0,74
KMP,10000000,2,9,625497,0,80
Horspool,10000000,2,0,625497,0,100
Horspool,10000000,2,1,625497,0,99
Horspool,10000000,2,2,625497,0,99
Horspool,10000000,2,3,625497,0,101
Horspool,10000000,2,4,625497,0,97
Horspool,10000000,2,5,625497,0,103
Horspool,10000000,2,6,625497,0,95
Horspool,10000000,2,7,625497,0,95
Horspool,10000000,2,8,625497,0,95
Horspool,10000000,2,9,625497,0,95
Shift-And,10000000,2,0,625497,0,18
Shift-And,10000000,2,1,625497,0,18
Shift-And,10000000,2,2,625497,0,16
Shift-And,10000000,2,3,625497,0,14
Shift-And,10000000,2,4,625497,0,15
Shift-And,10000000,2,5,625497,0,15
Shift-And,10000000,2,6,625497,0,14
Shift-And,10000000,2,7,625497,0,14
Shift-And,10000000,2,8,625497,0,15
Shift-And,10000000,2,9,625497,0,15
Weak Boyer Moore,10000000,2,0,625290,0,38
Weak Boyer Moore,10000000,2,1,625290,0,39
Weak Boyer Moore,10000000,2,2,625290,0,40
Weak Boyer Moore,10000000,2,3,625290,0,37
Weak Boyer Moore,10000000,2,4,625290,0,40
Weak Boyer Moore,10000000,2,5,625290,0,46
Weak Boyer Moore,10000000,2,6,625290,0,38
Weak Boyer Moore,10000000,2,7,625290,0,41
Weak Boyer Moore,10000000,2,8,625290,0,39
Weak Boyer Moore,10000000,2,9,625290,0,38
Weak Memorizing Boyer Moore,10000000,2,0,625290,0,42
Weak Memorizing Boyer Moore,10000000,2,1,625290,0,40
Weak Memorizing Boyer Moore,10000000,2,2,625290,0,42
Weak Memorizing Boyer Moore,10000000,2,3,625290,0,44
Weak Memorizing Boyer Moore,10000000,2,4,625290,0,45
Weak Memorizing Boyer Moore,10000000,2,5,625290,0,39
Weak Memorizing Boyer Moore,10000000,2,6,625290,0,41
Weak Memorizing Boyer Moore,10000000,2,7,625290,0,44
Weak Memorizing Boyer Moore,10000000,2,8,625290,0,40
Weak Memorizing Boyer Moore,10000000,2,9,625290,0,41
Weak Turbo Boyer Moore,10000000,2,0,625290,0,43
Weak Turbo Boyer Moore,10000000,2,1,625290,0,47
Weak Turbo Boyer Moore,10000000,2,2,625290,0,43
Weak Turbo Boyer Moore,10000000,2,3,625290,0,42
Weak Turbo Boyer Moore,10000000,2,4,625290,0,48
Weak Turbo Boyer Moore,10000000,2,5,625290,0,42
Weak Turbo Boyer Moore,10000000,2,6,625290,0,43
Weak Turbo Boyer Moore,10000000,2,7,625290,0,44
Weak Turbo Boyer Moore,10000000,2,8,625290,0,44
Weak Turbo Boyer Moore,10000000,2,9,625290,0,45
Naive,10000000,2,0,625290,0,37
Naive,10000000,2,1,625290,0,37
Naive,10000000,2,2,625290,0,43
Naive,10000000,2,3,625290,0,35
Naive,10000000,2,4,625290,0,42
Naive,10000000,2,5,625290,0,39
Naive,10000000,2,6,625290,0,46
Naive,10000000,2,7,625290,0,36
Naive,10000000,2,8,625290,0,39
Naive,10000000,2,9,625290,0,35
KMP,10000000,2,0,625290,0,64
KMP,10000000,2,1,625290,0,63
KMP,10000000,2,2,625290,0,77
KMP,10000000,2,3,625290,0,81
KMP,10000000,2,4,625290,0,67
KMP,10000000,2,5,625290,0,71
KMP,10000000,2,6,625290,0,74
KMP,10000000,2,7,625290,0,71
KMP,10000000,2,8,625290,0,65
KMP,10000000,2,9,625290,0,72
Horspool,10000000,2,0,625290,0,94
Horspool,10000000,2,1,625290,0,102
Horspool,10000000,2,2,625290,0,104
Horspool,10000000,2,3,625290,0,97
Horspool,10000000,2,4,625290,0,96
Horspool,10000000,2,5,625290,0,91
Horspool,10000000,2,6,625290,0,97
Horspool,10000000,2,7,625290,0,99
Horspool,10000000,2,8,625290,0,97
Horspool,10000000,2,9,625290,0,100
Shift-And,10000000,2,0,625290,0,21
Shift-And,10000000,2,1,625290,0,16
Shift-And,10000000,2,2,625290,0,15
Shift-And,10000000,2,3,625290,0,14
Shift-And,10000000,2,4,625290,0,17
Shift-And,10000000,2,5,625290,0,15
Shift-And,10000000,2,6,625290,0,15
Shift-And,10000000,2,7,625290,0,15
Shift-And,10000000,2,8,625290,0,15
Shift-And,10000000,2,9,625290,0,15
Weak Boyer Moore,10000000,2,0,625497,0,40
Weak Boyer Moore,10000000,2,1,625497,0,38
Weak Boyer Moore,10000000,2,2,625497,0,36
