algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Shift-And,10000000,2,2,14796,0,9
Shift-And,10000000,2,3,14796,0,9
Shift-And,10000000,2,4,14796,0,10
Shift-And,10000000,2,5,14796,0,8
Shift-And,10000000,2,6,14796,0,9
Shift-And,10000000,2,7,14796,0,9
Shift-And,10000000,2,8,14796,0,9
Shift-And,10000000,2,9,14796,0,9
Weak Boyer Moore,10000000,2,0,14783,0,19
Weak Boyer Moore,10000000,2,1,14783,0,21
Weak Boyer Moore,10000000,2,2,14783,0,23
Weak Boyer Moore,10000000,2,3,14783,0,21
Weak Boyer Moore,10000000,2,4,14783,0,18
Weak Boyer Moore,10000000,2,5,14783,0,22
Weak Boyer Moore,10000000,2,6,14783,0,21
Weak Boyer Moore,10000000,2,7,14783,0,19
Weak Boyer Moore,10000000,2,8,14783,0,21
Weak Boyer Moore,10000000,2,9,14783,0,18
Weak Memorizing Boyer Moore,10000000,2,0,14783,0,29
Weak Memorizing Boyer Moore,10000000,2,1,14783,0,30
Weak Memorizing Boyer Moore,10000000,2,2,14783,0,29
Weak Memorizing Boyer Moore,10000000,2,3,14783,0,26
Weak Memorizing Boyer Moore,10000000,2,4,14783,0,26
Weak Memorizing Boyer Moore,10000000,2,5,14783,0,28
Weak Memorizing Boyer Moore,10000000,2,6,14783,0,27
Weak Memorizing Boyer Moore,10000000,2,7,14783,0,32
Weak Memorizing Boyer Moore,10000000,2,8,14783,0,28
Weak Memorizing Boyer Moore,10000000,2,9,14783,0,30
Weak Turbo Boyer Moore,10000000,2,0,14783,0,36
Weak Turbo Boyer Moore,10000000,2,1,14783,0,35
Weak Turbo Boyer Moore,10000000,2,2,14783,0,33
Weak Turbo Boyer Moore,10000000,2,3,14783,0,30
Weak Turbo Boyer Moore,10000000,2,4,14783,0,31
Weak Turbo Boyer Moore,10000000,2,5,14783,0,32
Weak Turbo Boyer Moore,10000000,2,6,14783,0,30
Weak Turbo Boyer Moore,10000000,2,7,14783,0,29
Weak Turbo Boyer Moore,10000000,2,8,14783,0,31
Weak Turbo Boyer Moore,10000000,2,9,14783,0,30
Naive,10000000,2,0,14783,0,34
Naive,10000000,2,1,14783,0,29
Naive,10000000,2,2,14783,0,28
Naive,10000000,2,3,14783,0,30
Naive,10000000,2,4,14783,0,33
Naive,10000000,2,5,14783,0,31
Naive,10000000,2,6,14783,0,37
Naive,10000000,2,7,14783,0,32
Naive,10000000,2,8,14783,0,32
Naive,10000000,2,9,14783,0,29
KMP,10000000,2,0,14783,0,28
KMP,10000000,2,1,14783,0,29
KMP,10000000,2,2,14783,0,32
KMP,10000000,2,3,14783,0,26
KMP,10000000,2,4,14783,0,28
KMP,10000000,2,5,14783,0,27
KMP,10000000,2,6,14783,0,27
KMP,10000000,2,7,14783,0,29
KMP,10000000,2,8,14783,0,29
KMP,10000000,2,9,14783,0,27
Horspool,10000000,2,0,14783,0,22
Horspool,10000000,2,1,14783,0,19
Horspool,10000000,2,2,14783,0,19
Horspool,10000000,2,3,14783,0,19
Horspool,10000000,2,4,14783,0,20
Horspool,10000000,2,5,14783,0,20
Horspool,10000000,2,6,14783,0,19
Horspool,10000000,2,7,14783,0,19
Horspool,10000000,2,8,14783,0,31
Horspool,10000000,2,9,14783,0,20
Shift-And,10000000,2,0,14783,0,9
Shift-And,10000000,2,1,14783,0,9
Shift-And,10000000,2,2,14783,0,9
Shift-And,10000000,2,3,14783,0,9
Shift-And,10000000,2,4,14783,0,8
Shift-And,10000000,2,5,14783,0,9
Shift-And,10000000,2,6,14783,0,9
Shift-And,10000000,2,7,14783,0,8
Shift-And,10000000,2,8,14783,0,9
Shift-And,10000000,2,9,14783,0,9
Weak Boyer Moore,10000000,2,0,15026,0,23
Weak Boyer Moore,10000000,2,1,15026,0,20
Weak Boyer Moore,10000000,2,2,15026,0,21
Weak Boyer Moore,10000000,2,3,15026,0,22
