algorithm,pattern_length,inspections
Weak Turbo Boyer Moore,2,386127
Weak Boyer Moore,2,385948
Weak Memorizing Boyer Moore,2,385948
Weak Turbo Boyer Moore,2,385948
Weak Boyer Moore,2,384563
Weak Memorizing Boyer Moore,2,384563
Weak Turbo Boyer Moore,2,384563
Weak Boyer Moore,2,384714
Weak Memorizing Boyer Moore,2,384714
Weak Turbo Boyer Moore,2,384714
Weak Boyer Moore,2,385490
Weak Memorizing Boyer Moore,2,385490
Weak Turbo Boyer Moore,2,385490
Weak Boyer Moore,2,384521
Weak Memorizing Boyer Moore,2,384521
Weak Turbo Boyer Moore,2,384521
Weak Boyer Moore,2,385025
Weak Memorizing Boyer Moore,2,385025
Weak Turbo Boyer Moore,2,385025
Weak Boyer Moore,2,385413
Weak Memorizing Boyer Moore,2,385413
Weak Turbo Boyer Moore,2,385413
Weak Boyer Moore,2,384641
Weak Memorizing Boyer Moore,2,384641
Weak Turbo Boyer Moore,2,384641
Weak Boyer Moore,2,384502
Weak Memorizing Boyer Moore,2,384502
Weak Turbo Boyer Moore,2,384502
Weak Boyer Moore,2,384486
Weak Memorizing Boyer Moore,2,384486
Weak Turbo Boyer Moore,2,384486
Weak Boyer Moore,2,386631
Weak Memorizing Boyer Moore,2,386631
Weak Turbo Boyer Moore,2,386631
Weak Boyer Moore,2,384998
Weak Memorizing Boyer Moore,2,384998
Weak Turbo Boyer Moore,2,384998
Weak Boyer Moore,2,386698
Weak Memorizing Boyer Moore,2,386698
Weak Turbo Boyer Moore,2,386698
Weak Boyer Moore,2,385595
Weak Memorizing Boyer Moore,2,385595
Weak Turbo Boyer Moore,2,385595
Weak Boyer Moore,2,385266
Weak Memorizing Boyer Moore,2,385266
Weak Turbo Boyer Moore,2,385266
Weak Boyer Moore,2,384127
Weak Memorizing Boyer Moore,2,384127
Weak Turbo Boyer Moore,2,384127
Weak Boyer Moore,2,384837
Weak Memorizing Boyer Moore,2,384837
Weak Turbo Boyer Moore,2,384837
Weak Boyer Moore,2,384981
Weak Memorizing Boyer Moore,2,384981
Weak Turbo Boyer Moore,2,384981
Weak Boyer Moore,2,383732
Weak Memorizing Boyer Moore,2,383732
Weak Turbo Boyer Moore,2,383732
Weak Boyer Moore,2,384887
Weak Memorizing Boyer Moore,2,384887
Weak Turbo Boyer Moore,2,384887
Weak Boyer Moore,2,385311
Weak Memorizing Boyer Moore,2,385311
Weak Turbo Boyer Moore,2,385311
Weak Boyer Moore,2,385860
Weak Memorizing Boyer Moore,2,385860
Weak Turbo Boyer Moore,2,385860
Weak Boyer Moore,2,384962
Weak Memorizing Boyer Moore,2,384962
Weak Turbo Boyer Moore,2,384962
Weak Boyer Moore,2,385239
Weak Memorizing Boyer Moore,2,385239
Weak Turbo Boyer Moore,2,385239
Weak Boyer Moore,2,384792
Weak Memorizing Boyer Moore,2,384792
Weak Turbo Boyer Moore,2,384792
Weak Boyer Moore,2,386130
Weak Memorizing Boyer Moore,2,386130
Weak Turbo Boyer Moore,2,386130
Weak Boyer Moore,2,386196
Weak Memorizing Boyer Moore,2,386196
Weak Turbo Boyer Moore,2,386196
Weak Boyer Moore,2,383648
Weak Memorizing Boyer Moore,2,383648
Weak Turbo Boyer Moore,2,383648
Weak Boyer Moore,2,386270
Weak Memorizing Boyer Moore,2,386270
Weak Turbo Boyer Moore,2,386270
Weak Boyer Moore,2,385649
Weak Memorizing Boyer Moore,2,385649
Weak Turbo Boyer Moore,2,385649
Weak Boyer Moore,2,384383
Weak Memorizing Boyer Moore,2,384383
Weak Turbo Boyer Moore,2,384383
Weak Boyer Moore,2,384588
Weak Memorizing Boyer Moore,2,384588
Weak Turbo Boyer Moore,2,384588
Weak Boyer Moore,2,384954
Weak Memorizing Boyer Moore,2,384954
Weak Turbo Boyer Moore,2,384954
Weak Boyer Moore,2,385188
Weak Memorizing Boyer Moore,2,385188
Weak Turbo Boyer Moore,2,385188
Weak Boyer Moore,2,384568
Weak Memorizing Boyer Moore,2,384568
Weak Turbo Boyer Moore,2,384568
Weak Boyer Moore,2,384636
Weak Memorizing Boyer Moore,2,384636
Weak Turbo Boyer Moore,2,384636
Weak Boyer Moore,2,385333
Weak Memorizing Boyer Moore,2,385333
Weak Turbo Boyer Moore,2,385333
Weak Boyer Moore,2,384583
Weak Memorizing Boyer Moore,2,384583
Weak Turbo Boyer Moore,2,384583
Weak Boyer Moore,2,384926
Weak Memorizing Boyer Moore,2,384926
Weak Turbo Boyer Moore,2,384926
Weak Boyer Moore,2,384416
Weak Memorizing Boyer Moore,2,384416
Weak Turbo Boyer Moore,2,384416
Weak Boyer Moore,2,384370
Weak Memorizing Boyer Moore,2,384370
Weak Turbo Boyer Moore,2,384370
Weak Boyer Moore,2,384767
Weak Memorizing Boyer Moore,2,384767
Weak Turbo Boyer Moore,2,384767
Weak Boyer Moore,2,385548
Weak Memorizing Boyer Moore,2,385548
Weak Turbo Boyer Moore,2,385548
Weak Boyer Moore,2,385364
Weak Memorizing Boyer Moore,2,385364
Weak Turbo Boyer Moore,2,385364
Weak Boyer Moore,3,371451
Weak Memorizing Boyer Moore,3,371451
Weak Turbo Boyer Moore,3,371451
Weak Boyer Moore,3,372355
Weak Memorizing Boyer Moore,3,372355
Weak Turbo Boyer Moore,3,372355
Weak Boyer Moore,3,372664
Weak Memorizing Boyer Moore,3,372664
Weak Turbo Boyer Moore,3,372664
Weak Boyer Moore,3,372643
Weak Memorizing Boyer Moore,3,372643
Weak Turbo Boyer Moore,3,372643
Weak Boyer Moore,3,373008
Weak Memorizing Boyer Moore,3,373008
Weak Turbo Boyer Moore,3,373008
Weak Boyer Moore,3,371379
Weak Memorizing Boyer Moore,3,371379
Weak Turbo Boyer Moore,3,371379
Weak Boyer Moore,3,371683
Weak Memorizing Boyer Moore,3,371683
Weak Turbo Boyer Moore,3,371683
Weak Boyer Moore,3,373142
Weak Memorizing Boyer Moore,3,373142
Weak Turbo Boyer Moore,3,373142
Weak Boyer Moore,3,209883
Weak Memorizing Boyer Moore,3,202917
Weak Turbo Boyer Moore,3,202917
Weak Boyer Moore,3,372195
Weak Memorizing Boyer Moore,3,372195
Weak Turbo Boyer Moore,3,372195
Weak Boyer Moore,3,373049
Weak Memorizing Boyer Moore,3,373049
Weak Turbo Boyer Moore,3,373049
Weak Boyer Moore,3,371340
Weak Memorizing Boyer Moore,3,371340
Weak Turbo Boyer Moore,3,371340
Weak Boyer Moore,3,370384
Weak Memorizing Boyer Moore,3,370384
Weak Turbo Boyer Moore,3,370384
Weak Boyer Moore,3,371304
Weak Memorizing Boyer Moore,3,371304
Weak Turbo Boyer Moore,3,371304
Weak Boyer Moore,3,372443
Weak Memorizing Boyer Moore,3,372443
Weak Turbo Boyer Moore,3,372443
Weak Boyer Moore,3,372425
Weak Memorizing Boyer Moore,3,372425
Weak Turbo Boyer Moore,3,372425
Weak Boyer Moore,3,371606
Weak Memorizing Boyer Moore,3,371606
Weak Turbo Boyer Moore,3,371606
Weak Boyer Moore,3,371351
Weak Memorizing Boyer Moore,3,371351
Weak Turbo Boyer Moore,3,371351
Weak Boyer Moore,3,371542
