algorithm,pattern_length,inspections
Weak Boyer Moore,5,5742752
Weak Memorizing Boyer Moore,5,5570119
Weak Turbo Boyer Moore,5,5570119
Weak Boyer Moore,5,5350219
Weak Memorizing Boyer Moore,5,4851721
Weak Turbo Boyer Moore,5,4494475
Weak Boyer Moore,5,6288691
Weak Memorizing Boyer Moore,5,5415166
Weak Turbo Boyer Moore,5,5415166
Weak Boyer Moore,5,5037370
Weak Memorizing Boyer Moore,5,4648295
Weak Turbo Boyer Moore,5,4648295
Weak Boyer Moore,5,5496919
Weak Memorizing Boyer Moore,5,5242403
Weak Turbo Boyer Moore,5,5242403
Weak Boyer Moore,5,4806424
Weak Memorizing Boyer Moore,5,4806424
Weak Turbo Boyer Moore,5,4806424
Weak Boyer Moore,5,3304441
Weak Memorizing Boyer Moore,5,2365912
Weak Turbo Boyer Moore,5,2365912
Weak Boyer Moore,6,2577650
Weak Memorizing Boyer Moore,6,1985943
Weak Turbo Boyer Moore,6,1985943
Weak Boyer Moore,6,4282446
Weak Memorizing Boyer Moore,6,4282446
Weak Turbo Boyer Moore,6,4282446
Weak Boyer Moore,6,4828774
Weak Memorizing Boyer Moore,6,4657080
Weak Turbo Boyer Moore,6,4657080
Weak Boyer Moore,6,4699093
Weak Memorizing Boyer Moore,6,4349098
Weak Turbo Boyer Moore,6,4349098
Weak Boyer Moore,6,5571776
Weak Memorizing Boyer Moore,6,4939929
Weak Turbo Boyer Moore,6,4939929
Weak Boyer Moore,6,4946047
Weak Memorizing Boyer Moore,6,4499821
Weak Turbo Boyer Moore,6,4189094
Weak Boyer Moore,6,5078103
Weak Memorizing Boyer Moore,6,4973799
Weak Turbo Boyer Moore,6,4973799
Weak Boyer Moore,6,4229439
Weak Memorizing Boyer Moore,6,3755137
Weak Turbo Boyer Moore,6,3755137
Weak Boyer Moore,6,4750594
Weak Memorizing Boyer Moore,6,4125652
Weak Turbo Boyer Moore,6,4125652
Weak Boyer Moore,6,5108743
Weak Memorizing Boyer Moore,6,4750648
Weak Turbo Boyer Moore,6,4090790
Weak Boyer Moore,6,4554367
Weak Memorizing Boyer Moore,6,4303304
Weak Turbo Boyer Moore,6,4209438
Weak Boyer Moore,6,4567031
Weak Memorizing Boyer Moore,6,4217036
Weak Turbo Boyer Moore,6,4217036
Weak Boyer Moore,6,5789459
Weak Memorizing Boyer Moore,6,5187994
Weak Turbo Boyer Moore,6,5187994
Weak Boyer Moore,6,5520976
Weak Memorizing Boyer Moore,6,5111068
Weak Turbo Boyer Moore,6,4805278
Weak Boyer Moore,6,5077159
Weak Memorizing Boyer Moore,6,5006056
Weak Turbo Boyer Moore,6,5006056
Weak Boyer Moore,6,3427630
Weak Memorizing Boyer Moore,6,3021292
Weak Turbo Boyer Moore,6,3021292
Weak Boyer Moore,6,3526383
Weak Memorizing Boyer Moore,6,3098995
Weak Turbo Boyer Moore,6,3098995
Weak Boyer Moore,6,5333877
Weak Memorizing Boyer Moore,6,5155179
Weak Turbo Boyer Moore,6,4478003
Weak Boyer Moore,6,5362255
Weak Memorizing Boyer Moore,6,4953928
Weak Turbo Boyer Moore,6,4723043
Weak Boyer Moore,6,4632106
Weak Memorizing Boyer Moore,6,4282111
