algorithm,pattern_length,inspections
Weak Memorizing Boyer Moore,6,1603561
Weak Turbo Boyer Moore,6,1583424
Weak Boyer Moore,6,1624022
Weak Memorizing Boyer Moore,6,1619014
Weak Turbo Boyer Moore,6,1565182
Weak Boyer Moore,6,1635321
Weak Memorizing Boyer Moore,6,1630332
Weak Turbo Boyer Moore,6,1601867
Weak Boyer Moore,6,1622698
Weak Memorizing Boyer Moore,6,1617354
Weak Turbo Boyer Moore,6,1563901
Weak Boyer Moore,6,2406338
Weak Memorizing Boyer Moore,6,2326619
Weak Turbo Boyer Moore,6,2289797
Weak Boyer Moore,6,1635072
Weak Memorizing Boyer Moore,6,1630179
Weak Turbo Boyer Moore,6,1601284
Weak Boyer Moore,6,1795186
Weak Memorizing Boyer Moore,6,1601273
Weak Turbo Boyer Moore,6,1579589
Weak Boyer Moore,6,1635133
Weak Memorizing Boyer Moore,6,1629973
Weak Turbo Boyer Moore,6,1601601
Weak Boyer Moore,6,1635713
Weak Memorizing Boyer Moore,6,1630583
Weak Turbo Boyer Moore,6,1601465
Weak Boyer Moore,6,1633869
Weak Memorizing Boyer Moore,6,1628892
Weak Turbo Boyer Moore,6,1600571
Weak Boyer Moore,6,596215
Weak Memorizing Boyer Moore,6,588929
Weak Turbo Boyer Moore,6,588929
Weak Boyer Moore,6,1623627
Weak Memorizing Boyer Moore,6,1618225
Weak Turbo Boyer Moore,6,1564179
Weak Boyer Moore,6,1633493
Weak Memorizing Boyer Moore,6,1628294
Weak Turbo Boyer Moore,6,1599700
Weak Boyer Moore,6,2405524
Weak Memorizing Boyer Moore,6,2325960
Weak Turbo Boyer Moore,6,2289299
Weak Boyer Moore,6,1635628
Weak Memorizing Boyer Moore,6,1630438
Weak Turbo Boyer Moore,6,1601949
Weak Boyer Moore,6,1634945
Weak Memorizing Boyer Moore,6,1629857
Weak Turbo Boyer Moore,6,1601067
Weak Boyer Moore,6,1623563
Weak Memorizing Boyer Moore,6,1617873
Weak Turbo Boyer Moore,6,1564153
Weak Boyer Moore,6,1632928
Weak Memorizing Boyer Moore,6,1627852
Weak Turbo Boyer Moore,6,1599312
Weak Boyer Moore,6,595937
Weak Memorizing Boyer Moore,6,588821
Weak Turbo Boyer Moore,6,588821
Weak Boyer Moore,6,1635622
Weak Memorizing Boyer Moore,6,1630660
Weak Turbo Boyer Moore,6,1601854
Weak Boyer Moore,6,1795439
Weak Memorizing Boyer Moore,6,1602320
Weak Turbo Boyer Moore,6,1581634
Weak Boyer Moore,6,1624553
Weak Memorizing Boyer Moore,6,1619427
Weak Turbo Boyer Moore,6,1565262
Weak Boyer Moore,6,1636131
Weak Memorizing Boyer Moore,6,1631409
Weak Turbo Boyer Moore,6,1602438
Weak Boyer Moore,6,1797012
Weak Memorizing Boyer Moore,6,1603890
Weak Turbo Boyer Moore,6,1583690
Weak Boyer Moore,6,1634146
Weak Memorizing Boyer Moore,6,1628977
Weak Turbo Boyer Moore,6,1600412
Weak Boyer Moore,6,1634559
Weak Memorizing Boyer Moore,6,1629426
Weak Turbo Boyer Moore,6,1600895
Weak Boyer Moore,6,1798372
Weak Memorizing Boyer Moore,6,1604941
Weak Turbo Boyer Moore,6,1583514
Weak Boyer Moore,6,2401479
Weak Memorizing Boyer Moore,6,2322417
Weak Turbo Boyer Moore,6,2286251
Weak Boyer Moore,6,1636059
Weak Memorizing Boyer Moore,6,1630983
Weak Turbo Boyer Moore,6,1602318
Weak Boyer Moore,6,1797715
Weak Memorizing Boyer Moore,6,1605129
Weak Turbo Boyer Moore,6,1583550
Weak Boyer Moore,6,1633681
Weak Memorizing Boyer Moore,6,1628830
Weak Turbo Boyer Moore,6,1600104
Weak Boyer Moore,6,1634051
Weak Memorizing Boyer Moore,6,1629224
Weak Turbo Boyer Moore,6,1600520
Weak Boyer Moore,6,2401895
Weak Memorizing Boyer Moore,6,2322366
Weak Turbo Boyer Moore,6,2286026
Weak Boyer Moore,6,594855
Weak Memorizing Boyer Moore,6,587702
Weak Turbo Boyer Moore,6,587702
Weak Boyer Moore,6,1795912
Weak Memorizing Boyer Moore,6,1602360
Weak Turbo Boyer Moore,6,1581251
Weak Boyer Moore,6,2402923
Weak Memorizing Boyer Moore,6,2323615
Weak Turbo Boyer Moore,6,2286737
Weak Boyer Moore,6,1633527
Weak Memorizing Boyer Moore,6,1628427
Weak Turbo Boyer Moore,6,1599840
Weak Boyer Moore,6,2404772
Weak Memorizing Boyer Moore,6,2325160
Weak Turbo Boyer Moore,6,2288662
Weak Boyer Moore,6,1635993
Weak Memorizing Boyer Moore,6,1630971
Weak Turbo Boyer Moore,6,1602061
Weak Boyer Moore,6,1625773
Weak Memorizing Boyer Moore,6,1620251
Weak Turbo Boyer Moore,6,1565170
Weak Boyer Moore,6,1626446
Weak Memorizing Boyer Moore,6,1621152
Weak Turbo Boyer Moore,6,1567153
Weak Boyer Moore,6,2403837
Weak Memorizing Boyer Moore,6,2324571
Weak Turbo Boyer Moore,6,2287853
Weak Boyer Moore,6,1626183
Weak Memorizing Boyer Moore,6,1620785
Weak Turbo Boyer Moore,6,1566508
Weak Boyer Moore,6,1631403
Weak Memorizing Boyer Moore,6,1626582
Weak Turbo Boyer Moore,6,1598197
Weak Boyer Moore,6,1634280
Weak Memorizing Boyer Moore,6,1629330
Weak Turbo Boyer Moore,6,1600702
Weak Boyer Moore,7,1586365
Weak Memorizing Boyer Moore,7,1585356
Weak Turbo Boyer Moore,7,1580433
Weak Boyer Moore,7,1588310
Weak Memorizing Boyer Moore,7,1587217
Weak Turbo Boyer Moore,7,1582092
Weak Boyer Moore,7,1518402
Weak Memorizing Boyer Moore,7,1517014
Weak Turbo Boyer Moore,7,1508277
Weak Boyer Moore,7,1587518
Weak Memorizing Boyer Moore,7,1586474
Weak Turbo Boyer Moore,7,1581409
Weak Boyer Moore,7,1734924
Weak Memorizing Boyer Moore,7,1552680
Weak Turbo Boyer Moore,7,1544119
Weak Boyer Moore,7,1734613
Weak Memorizing Boyer Moore,7,1552282
Weak Turbo Boyer Moore,7,1543934
Weak Boyer Moore,7,1733310
Weak Memorizing Boyer Moore,7,1551056
Weak Turbo Boyer Moore,7,1542703
Weak Boyer Moore,7,1588065
Weak Memorizing Boyer Moore,7,1586938
Weak Turbo Boyer Moore,7,1581935
Weak Boyer Moore,7,2249411
Weak Memorizing Boyer Moore,7,2178652
Weak Turbo Boyer Moore,7,2164367
Weak Boyer Moore,7,1587359
Weak Memorizing Boyer Moore,7,1586298
Weak Turbo Boyer Moore,7,1581256
Weak Boyer Moore,7,1516758
Weak Memorizing Boyer Moore,7,1515305
Weak Turbo Boyer Moore,7,1506811
Weak Boyer Moore,7,1585940
Weak Memorizing Boyer Moore,7,1584794
Weak Turbo Boyer Moore,7,1579783
Weak Boyer Moore,7,1515910
Weak Memorizing Boyer Moore,7,1514497
Weak Turbo Boyer Moore,7,1505865
Weak Boyer Moore,7,2253369
Weak Memorizing Boyer Moore,7,2181991
Weak Turbo Boyer Moore,7,2167567
Weak Boyer Moore,7,1517466
Weak Memorizing Boyer Moore,7,1516124
Weak Turbo Boyer Moore,7,1507716
Weak Boyer Moore,7,1516915
Weak Memorizing Boyer Moore,7,1515609
Weak Turbo Boyer Moore,7,1506977
Weak Boyer Moore,7,2252037
Weak Memorizing Boyer Moore,7,2180808
Weak Turbo Boyer Moore,7,2166619
Weak Boyer Moore,7,2248925
Weak Memorizing Boyer Moore,7,2178207
Weak Turbo Boyer Moore,7,2163776
Weak Boyer Moore,7,1586144
Weak Memorizing Boyer Moore,7,1585124
Weak Turbo Boyer Moore,7,1580310
Weak Boyer Moore,7,1585117
Weak Memorizing Boyer Moore,7,1584099
Weak Turbo Boyer Moore,7,1579246
Weak Boyer Moore,7,2251342
Weak Memorizing Boyer Moore,7,2179829
Weak Turbo Boyer Moore,7,2165491
Weak Boyer Moore,7,1518475
Weak Memorizing Boyer Moore,7,1517033
Weak Turbo Boyer Moore,7,1508323
Weak Boyer Moore,7,1732131
Weak Memorizing Boyer Moore,7,1549629
Weak Turbo Boyer Moore,7,1541385
Weak Boyer Moore,7,1733767
Weak Memorizing Boyer Moore,7,1551490
Weak Turbo Boyer Moore,7,1543459
Weak Boyer Moore,7,1587400
Weak Memorizing Boyer Moore,7,1586357
Weak Turbo Boyer Moore,7,1581174
Weak Boyer Moore,7,1587347
Weak Memorizing Boyer Moore,7,1586200
Weak Turbo Boyer Moore,7,1581185
Weak Boyer Moore,7,1731367
Weak Memorizing Boyer Moore,7,1549113
Weak Turbo Boyer Moore,7,1540692
Weak Boyer Moore,7,1586139
Weak Memorizing Boyer Moore,7,1585056
Weak Turbo Boyer Moore,7,1580065
Weak Boyer Moore,7,1586995
Weak Memorizing Boyer Moore,7,1585895
Weak Turbo Boyer Moore,7,1580825
Weak Boyer Moore,7,1587307
Weak Memorizing Boyer Moore,7,1586150
Weak Turbo Boyer Moore,7,1581015
Weak Boyer Moore,7,1586376
Weak Memorizing Boyer Moore,7,1585296
Weak Turbo Boyer Moore,7,1580283
Weak Boyer Moore,7,1587312
Weak Memorizing Boyer Moore,7,1586136
Weak Turbo Boyer Moore,7,1581204
Weak Boyer Moore,7,2253093
Weak Memorizing Boyer Moore,7,2181814
Weak Turbo Boyer Moore,7,2167346
Weak Boyer Moore,7,2250208
Weak Memorizing Boyer Moore,7,2179068
Weak Turbo Boyer Moore,7,2164748
Weak Boyer Moore,7,1587359
Weak Memorizing Boyer Moore,7,1586243
Weak Turbo Boyer Moore,7,1581330
Weak Boyer Moore,7,1588439
Weak Memorizing Boyer Moore,7,1587301
Weak Turbo Boyer Moore,7,1582178
Weak Boyer Moore,7,1731569
Weak Memorizing Boyer Moore,7,1549468
Weak Turbo Boyer Moore,7,1541350
Weak Boyer Moore,7,1734457
Weak Memorizing Boyer Moore,7,1552497
Weak Turbo Boyer Moore,7,1544256
Weak Boyer Moore,7,2251652
Weak Memorizing Boyer Moore,7,2180219
Weak Turbo Boyer Moore,7,2165694
Weak Boyer Moore,7,501879
Weak Memorizing Boyer Moore,7,499857
Weak Turbo Boyer Moore,7,499857
Weak Boyer Moore,7,500237
Weak Memorizing Boyer Moore,7,498166
Weak Turbo Boyer Moore,7,498166
Weak Boyer Moore,7,1586334
Weak Memorizing Boyer Moore,7,1585209
Weak Turbo Boyer Moore,7,1580604
Weak Boyer Moore,7,1586627
Weak Memorizing Boyer Moore,7,1585565
Weak Turbo Boyer Moore,7,1580622
Weak Boyer Moore,7,1588459
Weak Memorizing Boyer Moore,7,1587261
Weak Turbo Boyer Moore,7,1582351
Weak Boyer Moore,7,1587839
Weak Memorizing Boyer Moore,7,1586838
Weak Turbo Boyer Moore,7,1581806
Weak Boyer Moore,7,1730798
Weak Memorizing Boyer Moore,7,1548272
Weak Turbo Boyer Moore,7,1540060
Weak Boyer Moore,7,1516308
Weak Memorizing Boyer Moore,7,1514808
Weak Turbo Boyer Moore,7,1506075
Weak Boyer Moore,7,2250513
Weak Memorizing Boyer Moore,7,2179484
Weak Turbo Boyer Moore,7,2165015
Weak Boyer Moore,7,1588287
Weak Memorizing Boyer Moore,7,1587236
Weak Turbo Boyer Moore,7,1582174
Weak Boyer Moore,7,1585776
Weak Memorizing Boyer Moore,7,1584746
Weak Turbo Boyer Moore,7,1579768
Weak Boyer Moore,7,1587912
Weak Memorizing Boyer Moore,7,1586731
Weak Turbo Boyer Moore,7,1581742
Weak Boyer Moore,7,1585867
Weak Memorizing Boyer Moore,7,1584759
Weak Turbo Boyer Moore,7,1579751
Weak Boyer Moore,7,1588465
Weak Memorizing Boyer Moore,7,1587281
Weak Turbo Boyer Moore,7,1582140
Weak Boyer Moore,7,1588677
Weak Memorizing Boyer Moore,7,1587573
Weak Turbo Boyer Moore,7,1582537
Weak Boyer Moore,7,1587480
Weak Memorizing Boyer Moore,7,1586382
Weak Turbo Boyer Moore,7,1581350
Weak Boyer Moore,7,2250765
Weak Memorizing Boyer Moore,7,2179814
Weak Turbo Boyer Moore,7,2165618
Weak Boyer Moore,7,1518868
Weak Memorizing Boyer Moore,7,1517388
Weak Turbo Boyer Moore,7,1508676
Weak Boyer Moore,7,2252957
Weak Memorizing Boyer Moore,7,2181052
Weak Turbo Boyer Moore,7,2166643
Weak Boyer Moore,7,1586108
Weak Memorizing Boyer Moore,7,1584966
Weak Turbo Boyer Moore,7,1580117
Weak Boyer Moore,7,1517605
Weak Memorizing Boyer Moore,7,1516187
Weak Turbo Boyer Moore,7,1507647
Weak Boyer Moore,7,1588622
Weak Memorizing Boyer Moore,7,1587463
Weak Turbo Boyer Moore,7,1582342
Weak Boyer Moore,7,1585851
Weak Memorizing Boyer Moore,7,1584756
Weak Turbo Boyer Moore,7,1579827
Weak Boyer Moore,7,1587975
Weak Memorizing Boyer Moore,7,1586898
Weak Turbo Boyer Moore,7,1581688
Weak Boyer Moore,7,501293
Weak Memorizing Boyer Moore,7,499025
Weak Turbo Boyer Moore,7,499025
Weak Boyer Moore,7,501831
Weak Memorizing Boyer Moore,7,499566
Weak Turbo Boyer Moore,7,499566
Weak Boyer Moore,7,1732551
Weak Memorizing Boyer Moore,7,1550470
Weak Turbo Boyer Moore,7,1542204
Weak Boyer Moore,7,1584412
Weak Memorizing Boyer Moore,7,1583369
Weak Turbo Boyer Moore,7,1578392
Weak Boyer Moore,8,1992627
Weak Memorizing Boyer Moore,8,1977392
Weak Turbo Boyer Moore,8,1965040
Weak Boyer Moore,8,1322132
Weak Memorizing Boyer Moore,8,1321684
Weak Turbo Boyer Moore,8,1313672
Weak Boyer Moore,8,1717779
Weak Memorizing Boyer Moore,8,1538623
Weak Turbo Boyer Moore,8,1538077
Weak Boyer Moore,8,1873215
Weak Memorizing Boyer Moore,8,1668771
Weak Turbo Boyer Moore,8,1658228
Weak Boyer Moore,8,1321526
Weak Memorizing Boyer Moore,8,1321122
Weak Turbo Boyer Moore,8,1313198
Weak Boyer Moore,8,1370765
Weak Memorizing Boyer Moore,8,1370447
Weak Turbo Boyer Moore,8,1332119
Weak Boyer Moore,8,1992506
Weak Memorizing Boyer Moore,8,1977201
Weak Turbo Boyer Moore,8,1964886
Weak Boyer Moore,8,2146728
Weak Memorizing Boyer Moore,8,2080570
Weak Turbo Boyer Moore,8,2067583
Weak Boyer Moore,8,1991183
Weak Memorizing Boyer Moore,8,1975793
Weak Turbo Boyer Moore,8,1963372
Weak Boyer Moore,8,1320646
Weak Memorizing Boyer Moore,8,1320286
Weak Turbo Boyer Moore,8,1312154
Weak Boyer Moore,8,1993885
Weak Memorizing Boyer Moore,8,1978531
Weak Turbo Boyer Moore,8,1966118
Weak Boyer Moore,8,1373305
Weak Memorizing Boyer Moore,8,1372924
Weak Turbo Boyer Moore,8,1334574
Weak Boyer Moore,8,1373094
Weak Memorizing Boyer Moore,8,1372712
Weak Turbo Boyer Moore,8,1334178
Weak Boyer Moore,8,1275457
Weak Memorizing Boyer Moore,8,1172110
Weak Turbo Boyer Moore,8,1168031
Weak Boyer Moore,8,1717149
